idcontrato;idAdjudicatario
10449854;509852009
10449919;508604460
10449940;515628921
10450011;509504345
10450553;500063524
10450695;980711495
10450708;503047201
10450719;502029021
10450731;504206150
10450817;501840907
10450844;RGPD
10450852;500017387
10450854;514564539
10450890;501998691
10450929;514357878
10450976;507056680
10450978;980622212
10450991;503567582
10450994;500940231
10451144;502142324
10451173;502942959
10451186;513744843
10451292;502442271
10451298;502027037
10451411;504377230
10451438;513770267
10451528;509873391
10451544;500162166
10451568;506126790
10451667;502379472
10451746;514366869
10451765;502661321
10451862;RGPD
10451864;502533943
10451927;504206150
10451985;RGPD
10452016;507756002
10452050;502996323
10452162;504282921
10452187;503047201
10452205;507309723
10452307;515155853
10452593;514986212
10452725;500918880
10452742;506657035
10452913;504223933
10452943;502981547
10452959;502916974
10453157;502693622
10453304;513631984
10453324;RGPD
10453389;RGPD
10453432;500938326
10453603;980655684
10453804;RGPD
10453832;502041285
10453871;504990926
10453956;504459201
10454031;514260718
10454077;RGPD
10454080;516011901
10454089;980262364
10454152;506620166
10454308;500145415
10455220;513250492
10455231;503070220
10455257;513077332
10455314;510533515
10455341;500730741
10455391;500006148
10455425;500219672
10455455;510823165
10455494;502064080
10455502;510794653
10455504;503232785
10455553;502178191
10455561;511135858
10455565;500900469
10455575;501476180
10455600;501476180
10455619;504990926
10455630;504990926
10455634;505309874
10455665;516482327
10455676;506370836
10455720;RGPD
10455759;501476180
10455787;500120501
10455834;RGPD
10455847;500120501
10455908;RGPD
10456145;514944617
10456211;500310068
10456432;509586961
10456517;500987076
10456642;500697370
10456711;500918880
nan;1790.43
10456838;500199906
10456983;RGPD
10457058;500697370
10457085;RGPD
10457161;508107997
10457162;RGPD
10457191;504890778
10457227;RGPD
10457243;503183997
10457324;501169580
10457367;511013426
10457419;503538108
10457454;511013426
10457559;504150014
10457569;515625248
10457578;500293023
10457590;502266791
10457603;510693920
10457630;510533515
10457652;504223933
10457716;500393222
10457823;501322906
10457876;502675381
10457889;510598692
10457957;517286017
10458058;RGPD
10458118;500697370
10458190;500853975
10458195;503932043
10458199;502388803
10458234;RGPD
10458368;500883750
10458418;500231206
10458498;RGPD
10458664;980474710
10458818;CH106183230
10458834;RGPD
10458852;500234370
10458858;RGPD
10458951;500649430
10458995;510345956
10459254;503747297
10459291;511021380
10459319;500139962
10459411;516466062
10459592;RGPD
10459614;RGPD
10459706;515424811
10459723;500697370
nan;16224
10460097;510685307
10460285;980622122
10460291;RGPD
10461759;503640549
10462822;RGPD
10463466;501583564
10463812;RGPD
10463879;505935791
10464053;508049237
10464055;508049237
10464063;514929170
10464070;500135819
10464094;RGPD
10464121;508735203
10464126;503620106
10464159;500583650
10464166;503262897
10464256;501169580
10464354;501117334
10464388;RGPD
10464438;514571810
10464699;506359140
10464815;502726890
10464828;513329625
10464860;501301704
10464868;RGPD
10464915;502017848
10424375;513365800
nan;9960
10424671;RGPD
10424681;RGPD
10424685;RGPD
nan;6187.64
10424714;504136992
10424773;506093190
10424806;505141019
nan;582
10424851;RGPD
10425032;508521556
10425135;501395784
10425391;RGPD
10425458;RGPD
nan;13200
10425767;502241594
10425920;980079659
10425978;RGPD
10426385;502021160
10426793;513205470
10426854;RGPD
10426856;502181621
10427178;505792362
10427579;502611057
10427587;503056820
10427670;515264539
10427690;516151584
10427743;502117281
10427999;503385506
10428102;511087462
10428152;504594214
10428160;503160300
10428311;502338547
10428467;517040735
10428500;504008404
10428510;507392787
10428531;504008404
10428628;RGPD
10428844;500070210
10428880;507467302
10428882;501847049
10428980;502563664
10429003;RGPD
10429274;503971146
10429332;503460656
10429391;500686599
10429468;508107997
10429492;503604704
10429559;500266743
10429585;514209453
10429645;507003799
10429781;511000235
10429785;RGPD
10429800;504839748
10429994;500233810
10430166;500853975
10430238;512020442
10430254;503070220
10430260;500271518
10430406;509112641
10430421;RGPD
10430773;RGPD
10430782;509876110
10430784;500583650
10430789;507938348
10430862;502942959
10430892;RGPD
10430907;513642749
10431076;500162166
10431110;500191360
10431155;502248793
nan;16865.28
objeto principal: ?PLATAFORMA ELETRÃNICA DE CONCURSOS E SORTEIOS  ARRENDAMENTO ACES;7860
10431568;RGPD
10431734;505047977
10431745;RGPD
10431948;RGPD
10432083;508907365
10432137;506985261
10432235;500859060
10432238;508284872
10432296;501201920
10432347;980474710
10432399;501689168
10432430;500119309
Difusora de Ensino da Figueira da Foz, Lda.;8659.71
10432504;510668470
10432548;980166705
10432557;503049476
10432561;506187071
10432671;504406272
10432676;504059521
10432687;505470888
10432703;RGPD
10432760;501821660
10432773;504582879
10432804;500197814
10432811;509877877
10432821;501090339
10432843;504691287
10432862;501445226
10432894;516580329
10432943;504615947
10433020;500479194
10433207;500918880
10433220;503604704
LEITE ESCOLAR BRANCO SIMPLES OU SEM LACTOSE;0
10433383;510939503
10433643;501469460
10433719;RGPD
10434165;US39-2053855
10434175;501445226
10434263;503567582
10434269;503183997
10434396;500280908
10434425;500035679
10434453;515726451
10434615;503099660
10434693;501169580
10434756;505845539
10434849;RGPD
nan;44855
10434977;500697370
10435083;501689168
10435397;502604751
10435602;509261310
10435908;508622263
10435921;501445226
10435941;510077420
10436025;500684324
10436089;502611057
10436115;508107997
10436155;503517119
10436298;502604751
10436409;514571810
10436638;500189412
10436650;506734579
10436791;513219919
10436873;514004185
10436933;507539842
10436947;500025550
10437034;501497889
10437214;500069190
10437303;509999441
10437365;503599093
10437442;502244585
10437465;RGPD
10437544;501904921
10437699;501445226
10437874;508107997
10437882;RGPD
10437959;500384045
10437969;502248793
10437977;505792362
10438103;503737895
10438114;508907365
10438143;502587652
10438187;502248793
10438190;502764406
10438222;500233810
10438225;507912128
10438227;500223238
10438243;506985261
10438265;502117281
10438285;500188629
10438302;515938408
10438306;505868814
10438475;504990926
10438513;504304720
10438526;501393005
10438737;513718737
10438757;503842770
10438797;500917477
10438894;502289490
10438966;503120928
10439213;RGPD
10439344;500675252
10439470;511144768
10439472;511023723
10439499;507504640
10439821;508107997
10439912;505042037
10439967;507967127
10440008;503657891
10440028;513077332
TÃ©cnica e Profissional MarquÃªs de Marialva,;59708.7
10440122;514130849
10440146;500223238
10440339;505654156
10440404;500017387
10440406;502248793
10440418;507045491
10440437;500189412
10440440;508906008
10440533;503934640
nan;19800
10440674;RGPD
10440699;502338547
10440776;505023628
10440778;509614558
10440871;505133270
10441140;500004811
10441181;505804441
10441238;503347345
10441265;506362825
10441656;514780355
10441708;RGPD
10441714;503640549
10441780;501689168
10441823;506916243
10441876;502604751
10441938;RGPD
10442098;RGPD
10442177;500038619
em Lisboa.;9889
10442308;500918880
10442366;515417700
10442707;502376899
10442717;500853975
10442736;500209634
10442768;502245816
Lda.;15499.6
10442881;501525882
nan;38910
10442943;503229040
10442958;500063524
10443044;980095891
10443056;504330551
10443059;507141806
10443074;501635890
10443132;510096140
propriedade da ETPR â Escola;43108.2
10443147;500697370
10443227;508468612
10443331;505187299
10443408;511266995
10443498;508569974
10443541;502801034
Mealhada, Unipessoal, Lda.;21216
10443578;500697370
10443632;515826901
10443659;502418826
10443677;RGPD
Esprominho - Escola Profissional do Minho, Lda.;26060.95
10443745;500180547
10443751;500280436
10443762;516196448
10443794;502248793
10443832;508907365
10443866;517013320
10443879;501866116
10443921;500153370
10444025;502266791
10444060;506985261
10444080;501525882
10444084;504594214
10444118;503347345
10444134;500162166
10444204;500583650
10444380;508771323
10444442;502599600
10444481;980622212
10444607;RGPD
10444615;514914440
10444723;980245974
10444850;514999713
10444865;507957547
10444910;RGPD
10444935;506640655
10444967;506640655
10445053;507011724
10445064;514470062
10445215;503371947
10445421;502877472
10445509;502801603
de ServiÃ§os de Ensino, S.A.;9410.35
10445567;RGPD
10445603;500231206
10445637;506142329
10445655;515067156
10446130;509660371
10446146;RGPD
10446161;501371974
Escola Evaristo Nogueira, Lda.;15207.25
(EDFR), propriedade da Externato Dom Fuas Roupinho, Lda.;3761.56
10446521;509299652
10446573;502002140
10446689;RGPD
10446710;500654573
10446758;507740343
10446794;501679529
10446944;509309666
10447066;500271518
Comarca de BraganÃ§a.;12500
10447683;501378669
10447695;510767753
10447841;503629294
10447905;508940168
AquisiÃ§Ã£o de serviÃ§os de higiene e limpeza para o Centro de Juventude de Braga/ Pousada da Juventude para o ano de 2024;47943
10447947;508107997
10447994;503095303
10448067;507407083
10448086;500918880
10448369;509359809
10448376;500697370
10448384;506370836
10448491;505322307
10448541;504762370
10448544;503789372
10448591;503235628
10448642;506986713
10448673;517289580
10448701;RGPD
10448751;502167610
10448883;515981800
10448900;RGPD
10448952;515937215
10449168;RGPD
10449200;514914050
10449207;516712730
10449274;RGPD
10449280;516414640
10449282;504326970
10449575;504618164
10449605;503378666
10450162;503637530
10450561;500291322
10450564;514239743
10450575;509117961
10450657;502801204
10450677;503347345
10450687;504272179
10450696;503789372
10450835;501232818
10450842;500073937
10450939;511135610
nan;0
10450979;502810645
10451065;980369959
10451066;RGPD
10451069;500042772
10451082;503567582
10451147;507618173
10451161;509117961
10451218;506985261
10451224;501058834
10451437;RGPD
10451495;506206041
10451566;502883308
10451593;RGPD
10451620;502500662
10451767;500271518
10451769;504453939
10451823;500207569
10451886;509925723
10451922;509258131
10452085;514993197
10452147;502820780
10452202;514611421
10452259;514719311
10452368;507159683
10452578;500675252
10452853;504864211
10452933;506665836
10452953;501297294
10453009;502916974
10453025;503531588
10453041;508457467
10453067;500684324
10453153;507052609
10453173;513212744
10453359;501489126
10453363;RGPD
10453381;RGPD
10453402;507051823
10453441;RGPD
10453498;501506543
10453502;GB679216109
10453537;501506543
10453568;502587652
10453578;504441256
10453586;502515619
10453590;501427511
10453812;509785026
10453915;500940231
10453983;RGPD
10454047;503496251
10454083;516821652
10454124;B-67871590
nan;106918.3
10454212;RGPD
10454283;509021050
10454307;505106841
10455169;509381448
10455170;RGPD
10455218;501934022
10455244;500233810
10455268;515230383
10455271;501506543
10455388;501054006
10455402;500149003
10455405;502380543
10455436;506658066
10455505;500119309
10455558;500697370
10455603;502383542
10455622;504059521
10455638;501476180
10455639;515434280
10455666;515865486
nan;18000
10455701;513624503
10455794;501369295
10455851;515618551
10455892;505348470
10455938;506461211
10455996;504911422
10456022;510543871
10456037;501463313
10456099;RGPD
10456157;506740447
10456165;RGPD
10456383;502668490
10456446;510229050
10456485;515976423
10456549;504990926
10456685;502942240
10456799;510735975
10456834;B78218872
10456899;501378669
10457183;503932680
10457274;500647518
10457596;504223933
10457666;500222665
10457694;508592909
10457796;RGPD
10457850;508469830
10458056;500123896
10458144;RGPD
10458166;500940231
10458219;503731765
10458243;RGPD
10458289;503538108
10458468;501515011
10458496;RGPD
10458541;504223933
10458644;503670693
10458810;516851390
10458965;508125871
10458988;505044897
10459112;RGPD
10459134;506822036
10459358;500492867
10459369;509717853
10459445;516170341
10459477;500697370
10459507;507011724
10459608;503431397
10459653;504772279
10460085;510134980
10460088;505876868
nan;90010.8
10460119;500194670
10460153;500303274
10460217;500252505
10460347;500203130
10461843;504223933
10462119;501169580
10462477;510874169
10462987;508831989
10463636;RGPD
10463659;RGPD
10464058;503538620
10464061;514265906
10464066;508049237
10464067;502267267
10464077;508049237
10464095;RGPD
10464122;507919114
10464157;503789372
10464246;500048193
10464445;RGPD
10464449;500162085
10464500;503646660
10464524;500675252
10464583;508294355
10464594;517640112
10464661;503731765
10464673;517640112
10464677;513295569
10464686;503148040
10464738;503538108
10464748;505978890
10464818;502248793
10464924;500063524
10464934;515373575
10464942;505042037
10465021;506176142
10465071;503253715
10465188;513100369
10465245;RGPD
10465249;503897787
10465255;500717915
10465291;509299652
10465321;RGPD
10465360;504615947
10465393;503425796
10465455;504615947
10465489;502896604
10465496;504059521
10465500;517611040
10465559;RGPD
10465574;514659068
10465793;514659068
10465795;RGPD
10465810;500126623
10465839;515676268
10465848;502877472
10465875;517346869
10465902;503481939
10465905;504887459
10465915;507717562
de 01 de janeiro de 2024;64654.79
10465966;506708616
10466033;510098711
10466131;500940231
10466156;507049110
10466172;516727494
10466279;504078500
10466367;500697370
10466373;500411620
10466384;516337629
10466423;RGPD
10466426;502607564
10466461;506320960
10466464;513415734
10466507;501426230
10466997;RGPD
10467008;508377463
10467105;513196781
10467124;503311332
10467126;515365416
10467143;504982010
10467196;RGPD
10467250;500982279
10467312;515107840
10467469;RGPD
10467470;502262184
10467539;502380543
10467589;501136584
10467705;500776253
10467727;RGPD
